title,category,price,discount_price,link,site,catalog,stock,stock_name,article,unit,order,inventory,city,price_2,discount_price_2,unit_2
"Манометр радиальный, 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,274.0,-1,https://spb.leroymerlin.ru//product/manometr-radialnyy-17955250/,leroymerlin,Приборы учета и измерений,-1,-1,17955250,шт,-1,-1,СПб,-1,-1,-1
"Манометр Sterwins 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,295.0,-1,https://spb.leroymerlin.ru//product/manometr-sterwins-6-bar-82279832/,leroymerlin,Приборы учета и измерений,-1,-1,82279832,шт,-1,-1,СПб,-1,-1,-1
Комплект монтажный сгонов для счётчика,Водоснабжение;Приборы учета и измерений,218.0,-1,https://spb.leroymerlin.ru//product/komplekt-montazhnyy-sgonov-dlya-schetchika-81955263/,leroymerlin,Приборы учета и измерений,-1,-1,81955263,шт,-1,-1,СПб,-1,-1,-1
"Счётчик для газа СГБМ 1.8 1/2""",Водоснабжение;Приборы учета и измерений,2077.0,-1,https://spb.leroymerlin.ru//product/schetchik-dlya-gaza-sgbm-18-1-2-18696536/,leroymerlin,Приборы учета и измерений,-1,-1,18696536,шт,-1,-1,СПб,-1,-1,-1
"Манометр радиальный Росма 10 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,497.0,-1,https://spb.leroymerlin.ru//product/manometr-radialnyy-rosma-10-bar-88327517/,leroymerlin,Приборы учета и измерений,-1,-1,88327517,шт,-1,-1,СПб,-1,-1,-1
"Термометр осевой Росма 120C, 1/2""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,581.0,-1,https://spb.leroymerlin.ru//product/termometr-osevoy-rosma-120c-85258321/,leroymerlin,Приборы учета и измерений,-1,-1,85258321,шт,-1,-1,СПб,-1,-1,-1
"Манометр радиальный Росма 6 бар, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,497.0,-1,https://spb.leroymerlin.ru//product/manometr-radialnyy-rosma-6-bar-85258312/,leroymerlin,Приборы учета и измерений,-1,-1,85258312,шт,-1,-1,СПб,-1,-1,-1
"Манометр для фильтров Honeywell FK + клапан D04/D06, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1351.0,-1,https://spb.leroymerlin.ru//product/manometr-dlya-filtrov-honeywell-fk-klapan-d04-d06-11176888/,leroymerlin,Приборы учета и измерений,-1,-1,11176888,шт,-1,-1,СПб,-1,-1,-1
"Термоманометр горизонтальный, 1/2"", 120 град, 6 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,758.0,-1,https://spb.leroymerlin.ru//product/termomanometr-gorizontalnyy-17955268/,leroymerlin,Приборы учета и измерений,-1,-1,17955268,шт,-1,-1,СПб,-1,-1,-1
"Термоманометр вертикальный, 1/2"", 120 град, 6 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,758.0,-1,https://spb.leroymerlin.ru//product/termomanometr-vertikalnyy-17955276/,leroymerlin,Приборы учета и измерений,-1,-1,17955276,шт,-1,-1,СПб,-1,-1,-1
"Термометр накладной Росма 120C, 1/4""",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,394.0,-1,https://spb.leroymerlin.ru//product/termometr-nakladnoy-rosma-120c-85258322/,leroymerlin,Приборы учета и измерений,-1,-1,85258322,шт,-1,-1,СПб,-1,-1,-1
"Манометр аксиальный 1/4"" 0-10 бар",Инструменты;Оборудование для мастерской;Аксессуары для компрессоров,1070.0,-1,https://spb.leroymerlin.ru//product/manometr-aksialnyy-1-4-0-10-bar-82273335/,leroymerlin,Приборы учета и измерений,-1,-1,82273335,шт,-1,-1,СПб,-1,-1,-1
